,LSTM_30
2019-12-31,267.51517
2020-01-01,266.3275
2020-01-02,266.31982
2020-01-03,265.83533
2020-01-06,265.09268
2020-01-07,267.16815
2020-01-08,266.6533
2020-01-09,264.6075
2020-01-10,263.47537
2020-01-13,262.8183
2020-01-14,261.1771
2020-01-15,260.90756
2020-01-16,261.0397
2020-01-17,260.9437
2020-01-20,260.60834
2020-01-21,260.53265
2020-01-22,260.23703
2020-01-23,259.8318
2020-01-24,259.59314
2020-01-27,259.4894
2020-01-28,259.33282
2020-01-29,259.2581
2020-01-30,259.22452
2020-01-31,259.156
2020-02-03,259.05585
2020-02-04,258.98935
2020-02-05,258.92352
2020-02-06,258.85812
2020-02-07,258.81534
2020-02-10,258.791
